edition,start_date,winner_name,winner_team,distance_km,time_sec,gap_to_2nd_sec,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality,year
1,1903-07-01,Maurice Garin,La Française,2428.0,340393.99999999994,10761.0,3,6,1.62,60.0,32,1871-03-03,1957-02-19,,The Little Chimney-sweep,Arvier,Italy, France,1903
2,1904-07-02,Henri Cornet,Conte,2428.0,345955.00000000006,8174.000000000002,1,3,,,19,1884-08-04,1941-03-18,,Le rigolo (The joker),Desvres,France, France,1904
3,1905-07-09,Louis Trousselier,Peugeot–Wolber,2994.0,,,5,10,,,24,1881-06-29,1939-04-24,,Levaloy / Trou-trou,Paris,France, France,1905
4,1906-07-04,René Pottier,Peugeot–Wolber,4637.0,,,5,12,,,27,1879-06-05,1907-01-25,,,Moret-sur-Loing,France, France,1906
5,1907-07-08,Lucien Petit-Breton,Peugeot–Wolber,4488.0,,,2,5,,,24,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France,1907
6,1908-07-13,Lucien Petit-Breton,Peugeot–Wolber,4497.0,,,5,13,,,25,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France,1908
7,1909-07-05,François Faber,Alcyon–Dunlop,4498.0,,,6,13,1.78,88.0,22,1887-01-26,1915-05-09,,The giant of colombes,Aulnay-sur-Iton,France, Luxembourg,1909
8,1910-07-01,Octave Lapize,Alcyon–Dunlop,4734.0,,,4,3,,,22,1887-10-24,1917-07-14,,,Paris,France, France,1910
9,1911-07-02,Gustave Garrigou,Alcyon–Dunlop,5343.0,,,2,13,,,26,1884-09-24,1963-01-28,Cyprien Gustave Garrigou,,Vabres,France, France,1911
10,1912-06-30,Odile Defraye,Alcyon–Dunlop,5289.0,,,3,13,,,23,1888-07-14,1965-08-21,,,Rumbeke,Belgium, Belgium,1912
11,1913-06-29,Philippe Thys,Peugeot–Wolber,5287.0,712440.0,487.99999999999983,1,8,,,23,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium,1913
12,1914-06-28,Philippe Thys,Peugeot–Wolber,5380.0,721728.0,60.99999999999984,1,15,,,24,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium,1914
13,1919-06-29,Firmin Lambot,La Sportive,5560.0,832034.9999999999,6174.0,1,2,,,33,1886-03-14,1964-01-19,,,Florennes,Belgium, Belgium,1919
14,1920-06-27,Philippe Thys,La Sportive,5503.0,822972.9999999999,3476.9999999999995,4,14,,,30,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium,1920
15,1921-06-26,Léon Scieur,La Sportive,5485.0,798626.0000000001,1098.0,2,14,,,33,1888-03-18,1969-10-07,,,Florennes,Belgium, Belgium,1921
16,1922-06-25,Firmin Lambot,Peugeot–Wolber,5375.0,799686.0,2501.0,0,3,,,36,1886-03-14,1964-01-19,,,Florennes,Belgium, Belgium,1922
17,1923-06-24,Henri Pélissier,Automoto–Hutchinson,5386.0,800130.0,1830.0,3,6,,,34,1889-01-22,1935-05-01,,,Paris,France, France,1923
18,1924-06-22,Ottavio Bottecchia,Automoto,5425.0,814700.9999999999,2135.0,4,15,,,29,1894-08-01,1927-06-15,,,San Martino di Colle Umberto,Italy, Italy,1924
19,1925-06-21,Ottavio Bottecchia,Automoto–Hutchinson,5440.0,789018.0,3294.0,4,13,,,30,1894-08-01,1927-06-15,,,San Martino di Colle Umberto,Italy, Italy,1925
20,1926-06-20,Lucien Buysse,Automoto–Hutchinson,5745.0,859464.9999999999,4945.0,2,8,,,33,1892-09-11,1980-01-03,,,Wontergem,Belgium, Belgium,1926
21,1927-06-19,Nicolas Frantz,Alcyon–Dunlop,5398.0,713801.9999999999,6521.0,3,14,,,27,1899-11-04,1985-11-08,,,Mamer,Luxembourg, Luxembourg,1927
22,1928-06-17,Nicolas Frantz,Alcyon–Dunlop,5476.0,694138.0000000001,3050.0,5,22,,,28,1899-11-04,1985-11-08,,,Mamer,Luxembourg, Luxembourg,1928
23,1929-06-30,Maurice De Waele,Alcyon–Dunlop,5286.0,671955.0,2684.0,1,16,,,32,1896-12-27,1952-02-14,,,Lovendegem,Belgium, Belgium,1929
24,1930-07-02,André Leducq,Alcyon–Dunlop,4822.0,619935.9999999999,853.9999999999999,2,13,,,26,1904-02-27,1980-06-18,,,Saint-Ouen,France, France,1930
25,1931-06-30,Antonin Magne,France,5091.0,637803.0,731.9999999999999,1,16,,,27,1904-01-15,1983-09-08,,,Ytrac,France, France,1931
26,1932-07-06,André Leducq,France,4479.0,555108.9999999999,1464.0,6,19,,,28,1904-02-27,1980-06-18,,,Saint-Ouen,France, France,1932
27,1933-06-27,Georges Speicher,France,4395.0,532297.0,243.9999999999997,3,12,,,26,1907-06-08,1978-01-24,,,Paris,France, France,1933
28,1934-07-03,Antonin Magne,France,4470.0,530038.0,1647.0,3,22,,,30,1904-01-15,1983-09-08,,,Ytrac,France, France,1934
29,1935-07-04,Romain Maes,Belgium,4338.0,508980.0,1036.9999999999998,3,21,,,22,1912-08-10,1983-02-22,,,Zerkegem,Belgium, Belgium,1935
30,1936-07-07,Sylvère Maes,Belgium,4442.0,514052.0,1586.0000000000002,4,14,,,26,1909-08-27,1966-12-05,,,Zevekote,Belgium, Belgium,1936
31,1937-06-30,Roger Lapébie,France,4415.0,500311.00000000006,427.0,3,4,,,26,1911-01-16,1996-10-12,,,Bayonne,France, France,1937
32,1938-07-05,Gino Bartali,Italy,4694.0,534551.9999999999,1098.0,2,8,1.72,66.0,23,1914-07-18,2000-05-05,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy,1938
33,1939-07-10,Sylvère Maes,Belgium,4224.0,475397.00000000006,1830.0,2,8,,,29,1909-08-27,1966-12-05,,,Zevekote,Belgium, Belgium,1939
34,1947-06-25,Jean Robic,France,4642.0,533485.0000000001,182.9999999999999,3,1,1.61,60.0,26,1921-06-10,1980-10-06,,"Biquet (Kid goat), Tête de cuir (Leather-head), Le farfadet de la lande Bretonne,
Gueule cassée",Vouziers,France, France,1947
35,1948-06-30,Gino Bartali,Italy,4922.0,529835.9999999999,1586.0000000000002,7,9,1.72,66.0,33,1914-07-18,2000-05-05,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy,1948
36,1949-06-30,Fausto Coppi,Italy,4808.0,538848.9999999999,609.9999999999999,3,5,1.77,68.0,29,1919-09-15,1960-01-02,Angelo Fausto Coppi,"The Heron,Il Campionissimo
(Champion of Champions)",Castellania,Italy, Italy,1949
37,1950-07-13,Ferdinand Kübler,Switzerland,4773.0,524216.00000000006,549.0,3,11,,,30,1919-07-24,2016-12-29,,"Ferdi, The Cowboy, The Eagle of Adliswil, Mr 100,000 Volts[",Marthalen,Switzerland,  Switzerland,1950
38,1951-07-04,Hugo Koblet,Switzerland,4690.0,512414.00000000006,1341.9999999999998,5,11,,,26,1925-03-21,1964-11-06,,"Beautiful Hugo, Le pédaleur de charme",Zürich,Switzerland,  Switzerland,1951
39,1952-06-25,Fausto Coppi,Italy,4898.0,547040.0,1707.9999999999998,5,14,1.77,68.0,30,1919-09-15,1960-01-02,Angelo Fausto Coppi,"The Heron,Il Campionissimo
(Champion of Champions)",Castellania,Italy, Italy,1952
40,1953-07-03,Louison Bobet,France,4476.0,465805.0,853.9999999999999,2,5,1.79,75.0,26,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France,1953
41,1954-07-08,Louison Bobet,France,4656.0,504365.0,914.9999999999998,3,14,1.79,75.0,29,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France,1954
42,1955-07-07,Louison Bobet,France,4495.0,469766.00000000006,243.9999999999997,2,6,1.79,75.0,30,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France,1955
43,1956-07-05,Roger Walkowiak,France,4498.0,446476.00000000006,60.99999999999984,0,8,,,29,1927-03-02,2017-02-06,,Walko,Montluçon,France, France,1956
44,1957-06-27,Jacques Anquetil,France,4669.0,488682.0,853.9999999999999,4,15,1.76,70.0,23,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France,1957
45,1958-06-26,Charly Gaul,Luxembourg,4319.0,421145.0,182.9999999999999,4,2,1.73,64.0,25,1932-12-08,2005-12-06,,Angel of the Mountains,Pfaffenthal,Luxembourg, Luxembourg,1958
46,1959-06-25,Federico Bahamontes,Spain,4358.0,445605.00000000006,243.9999999999997,1,6,,,30,1928-07-09,,Alejandro Martín Bahamontes,The Eagle of Toledo,Santo Domingo-Caudilla,Spain, Spain,1959
47,1960-06-26,Gastone Nencini,Italy,4173.0,403722.0,304.99999999999994,0,14,,,30,1930-03-01,1980-02-01,,"Il Leone del Mugello, Faccia di fatica (Fatigue-face)",Barberino di Mugello,Italy, Italy,1960
48,1961-06-25,Jacques Anquetil,France,4397.0,439293.0,731.9999999999999,2,21,1.76,70.0,27,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France,1961
49,1962-06-24,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,4274.0,412314.00000000006,243.9999999999997,2,3,1.76,70.0,28,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France,1962
50,1963-06-23,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,4138.0,408605.0,182.9999999999999,4,5,1.76,70.0,29,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France,1963
51,1964-06-22,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,4504.0,457784.00000000006,54.99999999999972,4,6,1.76,70.0,30,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France,1964
52,1965-06-22,Felice Gimondi,Salvarani,4188.0,420126.00000000006,121.99999999999967,3,18,1.81,71.0,22,1942-09-29,2019-08-16,,The Phoenix,Sedrina,Italy, Italy,1965
53,1966-06-21,Lucien Aimar,Ford France–Hutchinson,4329.0,423261.0,60.99999999999984,0,6,,,25,1941-04-28,,,,Hyères,France, France,1966
54,1967-06-29,Roger Pingeon,Peugeot–BP–Michelin,4779.0,492830.0,182.9999999999999,1,17,1.82,72.0,26,1940-08-28,2017-03-19,,"Le grand échassier, Le plombier-zingueur",Hauteville-Lompnes,France, France,1967
55,1968-06-27,Jan Janssen,Pelforth–Sauvage–Lejeune,4492.0,481782.0,37.9999999999998,2,1,,,28,1940-05-19,,Johannes Adrianus Janssen,,Nootdorp,Netherlands, Netherlands,1968
56,1969-06-28,Eddy Merckx,Faema,4117.0,418562.0,1036.9999999999998,6,18,1.82,74.0,24,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium,1969
57,1970-06-27,Eddy Merckx,Faemino–Faema,4254.0,430309.0,731.9999999999999,8,20,1.82,74.0,25,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium,1970
58,1971-06-26,Eddy Merckx,Molteni,3608.0,348314.0,549.0,4,17,1.82,74.0,26,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium,1971
59,1972-07-01,Eddy Merckx,Molteni,3846.0,389838.0,609.9999999999999,6,15,1.82,74.0,27,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium,1972
60,1973-06-30,Luis Ocaña,Bic,4090.0,440734.00000000006,914.9999999999998,6,14,1.65,52.0,28,1945-06-09,1994-06-19,Jesús Luis Ocaña Pernía,,Priego,Spain, Spain,1973
61,1974-06-27,Eddy Merckx,Molteni,4098.0,418618.0,487.99999999999983,8,18,1.82,74.0,29,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium,1974
62,1975-06-26,Bernard Thévenet,Peugeot–BP–Michelin,4000.0,412531.0,121.99999999999967,2,8,,,27,1948-01-10,,,Nanard,Saint-Julien-de-Civry,France, France,1975
63,1976-06-24,Lucien Van Impe,Gitane–Campagnolo,4017.0,418943.00000000006,243.9999999999997,1,12,,58.0,29,1946-10-20,,,de kleine van Mere,Mere,Belgium, Belgium,1976
64,1977-06-30,Bernard Thévenet,Peugeot–Esso–Michelin,4096.0,416310.00000000006,47.99999999999988,1,8,,,29,1948-01-10,,,Nanard,Saint-Julien-de-Civry,France, France,1977
65,1978-06-29,Bernard Hinault,Renault–Gitane–Campagnolo,3908.0,389880.0,182.9999999999999,3,3,1.74,62.0,23,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France,1978
66,1979-06-27,Bernard Hinault,Renault–Gitane,3765.0,371210.0,793.0000000000001,7,17,1.74,62.0,24,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France,1979
67,1980-06-26,Joop Zoetemelk,TI–Raleigh–Creda,3842.0,393554.0,365.9999999999998,2,10,1.73,68.0,33,1946-12-03,,Hendrik Gerardus Joseph Zoetemelk,Joop,The Hague,Netherlands, Netherlands,1980
68,1981-06-25,Bernard Hinault,Renault–Elf–Gitane,3753.0,346778.0,853.9999999999999,5,18,1.74,62.0,26,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France,1981
69,1982-07-02,Bernard Hinault,Renault–Elf–Gitane,3507.0,331726.00000000006,365.9999999999998,4,12,1.74,62.0,27,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France,1982
70,1983-07-01,Laurent Fignon,Renault–Elf,3809.0,378472.00000000006,243.9999999999997,1,6,1.74,67.0,22,1960-08-12,2010-08-31,Laurent Patrick Fignon,Le Professeur (The Professor),Paris,France, France,1983
71,1984-06-29,Laurent Fignon,Renault–Elf,4021.0,403420.0,609.9999999999999,5,7,1.74,67.0,23,1960-08-12,2010-08-31,Laurent Patrick Fignon,Le Professeur (The Professor),Paris,France, France,1984
72,1985-06-28,Bernard Hinault,La Vie Claire,4109.0,408263.00000000006,60.99999999999984,2,16,1.74,62.0,30,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France,1985
73,1986-07-04,Greg LeMond,La Vie Claire,4094.0,398119.0,182.9999999999999,1,7,1.78,67.0,25,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States,1986
74,1987-07-01,Stephen Roche,Carrera Jeans–Vagabond,4231.0,415662.0,39.99999999999996,1,3,1.75,74.0,27,1959-11-28,,,,Dundrum,Ireland, Ireland,1987
75,1988-07-02,Pedro Delgado,Reynolds,3286.0,304073.0,427.0,1,11,1.71,64.0,28,1960-04-15,,Pedro Delgado Robledo,Perico,Segovia,Spain, Spain,1988
76,1989-07-01,Greg LeMond,AD Renting–W-Cup–Bottecchia,3285.0,315515.0,7.99999999999992,3,8,1.78,67.0,28,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States,1989
77,1990-06-30,Greg LeMond,Z–Tomasso,3504.0,326600.00000000006,121.99999999999967,0,2,1.78,67.0,29,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States,1990
78,1991-07-06,Miguel Induráin,Banesto,3914.0,363680.00000000006,182.9999999999999,2,10,1.86,80.0,26,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain,1991
79,1992-07-04,Miguel Induráin,Banesto,3983.0,362970.0,243.9999999999997,3,10,1.86,80.0,27,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain,1992
80,1993-07-03,Miguel Induráin,Banesto,3714.0,345429.0,243.9999999999997,2,14,1.86,80.0,28,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain,1993
81,1994-07-02,Miguel Induráin,Banesto,3978.0,373118.0,304.99999999999994,1,13,1.86,80.0,29,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain,1994
82,1995-07-01,Miguel Induráin,Banesto,3635.0,333899.0,243.9999999999997,2,13,1.86,80.0,30,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain,1995
83,1996-06-29,Bjarne Riis,Team Telekom,3765.0,345435.99999999994,60.99999999999984,2,13,1.84,71.0,32,1964-04-03,,Bjarne Lykkegård Riis,"Ørnen fra Herning
(The Eagle from Herning)",Herning,Denmark, Denmark,1996
84,1997-07-05,Jan Ullrich,Team Telekom,3950.0,361835.0,549.0,2,12,1.83,73.0,23,1973-12-02,,,"Der Kaiser, Der Jan, Der Junge, The Yoyo",Rostock,Germany, Germany,1997
85,1998-07-11,Marco Pantani,Mercatone Uno–Bianchi,3875.0,334185.99999999994,182.9999999999999,2,7,1.72,57.0,28,1970-01-13,2004-02-14,,"Il Pirata (The pirate), Elefantino (The little elephant)",Cesena,Italy, Italy,1998
86,1999-07-03,Lance Armstrong,U.S. Postal Service,3687.0,329536.0,427.0,4,15,1.77,75.0,27,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States,1999
87,2000-07-01,Lance Armstrong,U.S. Postal Service,3662.0,333187.99999999994,365.9999999999998,1,12,1.77,75.0,28,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States,2000
88,2001-07-07,Lance Armstrong,U.S. Postal Service,3458.0,310648.0,365.9999999999998,4,8,1.77,75.0,29,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States,2001
89,2002-07-06,Lance Armstrong,U.S. Postal Service,3272.0,295512.0,427.0,4,11,1.77,75.0,30,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States,2002
90,2003-07-05,Lance Armstrong,U.S. Postal Service,3427.0,301272.0,60.99999999999984,1,13,1.77,75.0,31,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States,2003
91,2004-07-03,Lance Armstrong,U.S. Postal Service,3391.0,300961.99999999994,365.9999999999998,5,7,1.77,75.0,32,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States,2004
92,2005-07-02,Lance Armstrong,Discovery Channel,3593.0,310502.0,243.9999999999997,1,17,1.77,75.0,33,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States,2005
93,2006-07-01,Óscar Pereiro,Caisse d'Epargne–Illes Balears,3657.0,322827.0,31.99999999999968,0,8,1.77,68.0,28,1977-08-03,,Óscar Pereiro Sío,,Mos,Spain, Spain,2006
94,2007-07-07,Alberto Contador,Discovery Channel,3570.0,327626.00000000006,22.99999999999968,1,4,1.76,62.0,24,1982-12-06,,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain,2007
95,2008-07-05,Carlos Sastre,Team CSC,3559.0,316372.0,57.999999999999964,1,5,1.73,60.0,33,1975-04-22,,Carlos Sastre Candil,,Leganés,Spain, Spain,2008
96,2009-07-04,Alberto Contador,Astana,3459.0,308915.0,243.9999999999997,2,7,1.76,62.0,26,1982-12-06,,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain,2009
97,2010-07-03,Andy Schleck,Team Saxo Bank,3642.0,331166.99999999994,60.99999999999984,2,12,1.86,68.0,25,1985-06-10,,Andy Raymond Schleck,,Luxembourg City,Luxembourg, Luxembourg,2010
98,2011-07-02,Cadel Evans,BMC Racing Team,3430.0,310342.0,60.99999999999984,1,2,1.74,64.0,34,1977-02-14,,Cadel Lee Evans,,Katherine,Australia, Australia,2011
99,2012-06-20,Bradley Wiggins,Team Sky,3496.0,315287.0,182.9999999999999,2,14,1.9,69.0,32,1980-04-28,,Bradley Marc Wiggins,Wiggo,Ghent,Belgium, Great Britain,2012
100,2013-06-29,Chris Froome,Team Sky,3404.0,302180.00000000006,243.9999999999997,3,14,1.86,69.0,28,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain,2013
101,2014-07-05,Vincenzo Nibali,Astana,3660.5,323946.0,427.0,4,19,1.8,65.0,29,1984-11-14,,,"Lo Squalo (The Shark), 'il Roditore' (The Nibbler)",Messina,Italy, Italy,2014
102,2015-07-04,Chris Froome,Team Sky,3360.3,305174.0,60.99999999999984,1,16,1.86,69.0,30,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain,2015
103,2016-07-02,Chris Froome,Team Sky,3529.0,320688.0,243.9999999999997,2,14,1.86,69.0,31,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain,2016
104,2017-07-01,Chris Froome,Team Sky,3540.0,310855.0,54.0,0,15,1.86,69.0,32,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain,2017
105,2018-07-07,Geraint Thomas,Team Sky,3349.0,299833.0,60.99999999999984,2,11,1.83,71.0,32,1986-05-25,,Geraint Howell Thomas,G,Cardiff,Wales, Great Britain,2018
106,2019-07-06,Egan Bernal,Team Ineos,3349.0,298620.0,60.99999999999984,0,2,1.75,60.0,22,1997-01-13,,Egan Arley Bernal Gómez,,Bogotá,Columbia, Colombia,2019
